I (30159) j1850: 68 FF 10 03 86 | CRC OK
I (30168) j1850: 68 88 10 03 44 | CRC OK
I (30181) j1850: C8 89 60 03 9F | CRC OK
I (30187) j1850: C8 88 10 0E BA | CRC OK
I (30204) j1850: E8 89 60 0E 54 | CRC OK
I (30233) j1850: 29 92 10 01 60 | CRC OK
I (30241) j1850: 28 1B 10 02 16 5C 96 | CRC OK
I (30249) j1850: 28 93 40 01 FF FF 39 | CRC OK
I (30309) j1850: 28 1B 10 02 14 F8 DB | CRC OK
I (30365) j1850: 28 93 10 02 01 91 | CRC OK
I (30374) j1850: 28 1B 10 02 17 4C 17 | CRC OK
I (30440) j1850: 28 1B 10 02 18 4C B4 | CRC OK
I (30505) j1850: 28 1B 10 02 16 8C 6E | CRC OK
I (30554) j1850: A8 3B 10 03 00 00 | CRC OK
I (30554) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (30571) j1850: 28 1B 10 02 18 14 82 | CRC OK
I (30579) j1850: 48 DA 40 39 00 70 | CRC OK
I (30636) j1850: 28 1B 10 02 17 70 C1 | CRC OK
I (30702) j1850: 28 1B 10 02 16 90 3F | CRC OK
I (30767) j1850: 28 1B 10 02 17 1C C9 | CRC OK
I (30792) j1850: A8 83 10 0A 00 14 7A | CRC OK
I (30833) j1850: 28 1B 10 02 17 C8 45 | CRC OK
I (30898) j1850: 28 1B 10 02 17 C0 AD | CRC OK
I (30964) j1850: 28 1B 10 02 17 D8 88 | CRC OK
I (31029) j1850: 28 1B 10 02 17 84 CA | CRC OK
I (31045) j1850: A8 3B 10 03 00 00 | CRC OK
I (31045) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (31095) j1850: 28 1B 10 02 16 EC FA | CRC OK
I (31161) j1850: 28 1B 10 02 17 00 98 | CRC OK
I (31167) j1850: 68 88 10 03 44 | CRC OK
I (31174) j1850: C8 88 10 0E BA | CRC OK
I (31180) j1850: C8 89 60 03 9F | CRC OK
I (31200) j1850: E8 89 60 0E 54 | CRC OK
I (31226) j1850: 28 1B 10 02 17 00 98 | CRC OK
I (31292) j1850: 28 1B 10 02 16 E8 8E | CRC OK
I (31357) j1850: 28 1B 10 02 16 90 3F | CRC OK
I (31409) j1850: 68 FF 40 03 D8 | CRC OK
I (31423) j1850: 28 1B 10 02 17 38 3A | CRC OK
I (31488) j1850: 28 1B 10 02 17 60 0C | CRC OK
I (31537) j1850: A8 3B 10 03 00 00 | CRC OK
I (31537) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (31552) j1850: 28 1B 10 02 17 30 D2 | CRC OK
I (31558) j1850: 68 FF 60 03 AD | CRC OK
I (31619) j1850: 28 1B 10 02 17 2C 83 | CRC OK
I (31685) j1850: 28 1B 10 02 16 D0 2C | CRC OK
I (31750) j1850: 28 1B 10 02 17 3C 4E | CRC OK
I (31816) j1850: 28 1B 10 02 17 7C 5D | CRC OK
I (31881) j1850: 28 1B 10 02 17 08 70 | CRC OK
I (31947) j1850: 28 1B 10 02 17 28 F7 | CRC OK
I (32012) j1850: 28 1B 10 02 16 98 D7 | CRC OK
I (32028) j1850: A8 3B 10 03 00 00 | CRC OK
I (32028) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (32078) j1850: 28 1B 10 02 17 04 EC | CRC OK
I (32099) j1850: 68 FF 40 03 D8 | CRC OK
I (32144) j1850: 28 1B 10 02 17 48 63 | CRC OK
I (32158) j1850: 68 FF 10 03 86 | CRC OK
I (32167) j1850: 68 88 10 03 44 | CRC OK
I (32175) j1850: C8 88 10 0E BA | CRC OK
I (32197) j1850: C8 89 60 03 9F | CRC OK
I (32204) j1850: E8 89 60 0E 54 | CRC OK
I (32212) j1850: 28 1B 10 02 16 E4 12 | CRC OK
I (32253) j1850: 68 FF 60 03 AD | CRC OK
I (32275) j1850: 28 1B 10 02 16 B4 CC | CRC OK
I (32332) j1850: A8 83 10 0A 00 28 AC | CRC OK
I (32340) j1850: 28 1B 10 02 16 FC 37 | CRC OK
I (32405) j1850: 29 FE 40 01 64 | CRC OK
I (32413) j1850: 28 1B 10 02 16 EC FA | CRC OK
I (32471) j1850: 28 1B 10 02 17 8C 22 | CRC OK
I (32520) j1850: A8 3B 10 03 00 00 | CRC OK
I (32520) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (32537) j1850: 28 1B 10 02 16 B0 B8 | CRC OK
I (32561) j1850: 29 FE 60 01 11 | CRC OK
I (32577) j1850: 28 FF 10 01 07 07 | CRC OK
I (32603) j1850: 28 1B 10 02 16 9C A3 | CRC OK
I (32650) j1850: A8 49 10 10 57 31 | CRC OK
I (32650) j1850: temp: raw=0x57 (87) -> 47 C (raw-40, ride-1 confirmed)
I (32668) j1850: 28 1B 10 02 16 D4 58 | CRC OK
I (32734) j1850: 28 1B 10 02 17 38 3A | CRC OK
I (32784) j1850: stats: 245 frames, 0 bad CRC, 0 overruns, 13227 edges, 308 same-level
I (32799) j1850: 28 1B 10 02 17 90 73 | CRC OK
I (32864) j1850: 28 1B 10 02 17 10 55 | CRC OK
I (32930) j1850: 28 1B 10 02 16 50 0A | CRC OK
I (32995) j1850: 28 1B 10 02 15 E4 C6 | CRC OK
I (33011) j1850: A8 3B 10 03 00 00 | CRC OK
I (33011) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (33061) j1850: 28 1B 10 02 16 04 A0 | CRC OK
I (33127) j1850: 28 1B 10 02 16 BC 24 | CRC OK
I (33158) j1850: 68 88 10 03 44 | CRC OK
I (33165) j1850: C8 88 10 0E BA | CRC OK
I (33171) j1850: C8 89 60 03 9F | CRC OK
I (33191) j1850: 28 1B 10 02 17 28 F7 | CRC OK
I (33196) j1850: E8 89 60 0E 54 | CRC OK
I (33258) j1850: 28 1B 10 02 17 40 8B | CRC OK
I (33323) j1850: 28 1B 10 02 17 60 0C | CRC OK
I (33389) j1850: 28 1B 10 02 17 08 70 | CRC OK
I (33438) j1850: 68 FF 40 03 D8 | CRC OK
I (33454) j1850: 28 1B 10 02 16 B8 50 | CRC OK
I (33503) j1850: A8 3B 10 03 00 00 | CRC OK
I (33503) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (33520) j1850: 28 1B 10 02 16 3C 02 | CRC OK
I (33565) j1850: 68 FF 60 03 AD | CRC OK
I (33586) j1850: 28 1B 10 02 16 84 86 | CRC OK
I (33651) j1850: 28 1B 10 02 17 4C 17 | CRC OK
I (33716) j1850: 28 1B 10 02 17 48 63 | CRC OK
I (33782) j1850: 28 1B 10 02 17 34 A6 | CRC OK
I (33847) j1850: 28 1B 10 02 17 5C DA | CRC OK
I (33913) j1850: 28 1B 10 02 17 84 CA | CRC OK
I (33978) j1850: 28 1B 10 02 17 74 B5 | CRC OK
I (33994) j1850: A8 3B 10 03 00 00 | CRC OK
I (33994) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (34011) j1850: A8 83 10 0A 00 3C 15 | CRC OK
I (34044) j1850: 28 1B 10 02 17 14 21 | CRC OK
I (34093) j1850: A8 49 10 10 58 8A | CRC OK
I (34093) j1850: temp: raw=0x58 (88) -> 48 C (raw-40, ride-1 confirmed)
I (34110) j1850: 28 1B 10 02 16 E8 8E | CRC OK
I (34157) j1850: 68 FF 10 03 86 | CRC OK
I (34165) j1850: 68 88 10 03 44 | CRC OK
I (34175) j1850: 28 1B 10 02 16 C4 95 | CRC OK
I (34182) j1850: C8 88 10 0E BA | CRC OK
I (34194) j1850: C8 89 60 03 9F | CRC OK
I (34200) j1850: E8 89 60 0E 54 | CRC OK
I (34241) j1850: 28 1B 10 02 17 70 C1 | CRC OK
I (34306) j1850: 28 1B 10 02 17 1C C9 | CRC OK
I (34372) j1850: 28 1B 10 02 16 D4 58 | CRC OK
I (34437) j1850: 28 1B 10 02 16 C4 95 | CRC OK
I (34486) j1850: A8 3B 10 03 00 00 | CRC OK
I (34486) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (34503) j1850: 28 1B 10 02 16 4C 5B | CRC OK
I (34568) j1850: 28 1B 10 02 16 B8 50 | CRC OK
I (34634) j1850: 28 1B 10 02 16 BC 24 | CRC OK
I (34700) j1850: 28 1B 10 02 16 B8 50 | CRC OK
I (34715) j1850: 68 FF 40 03 D8 | CRC OK
I (34765) j1850: 28 1B 10 02 16 FC 37 | CRC OK
I (34831) j1850: 28 1B 10 02 16 E8 8E | CRC OK
I (34869) j1850: 68 FF 60 03 AD | CRC OK
I (34896) j1850: 28 1B 10 02 16 B4 CC | CRC OK
I (34962) j1850: 28 1B 10 02 16 B8 50 | CRC OK
I (34977) j1850: A8 3B 10 03 00 00 | CRC OK
I (34977) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (35021) j1850: 29 FE 40 01 64 | CRC OK
I (35028) j1850: 28 1B 10 02 16 E4 12 | CRC OK
I (35034) j1850: 28 FF 10 01 07 07 | CRC OK
I (35093) j1850: 28 1B 10 02 17 68 E4 | CRC OK
I (35141) j1850: A8 49 10 10 57 31 | CRC OK
I (35141) j1850: temp: raw=0x57 (87) -> 47 C (raw-40, ride-1 confirmed)
I (35158) j1850: 28 1B 10 02 17 20 1F | CRC OK
I (35165) j1850: 68 88 10 03 44 | CRC OK
I (35175) j1850: 29 FE 60 01 11 | CRC OK
I (35180) j1850: C8 88 10 0E BA | CRC OK
I (35186) j1850: C8 89 60 03 9F | CRC OK
I (35210) j1850: E8 89 60 0E 54 | CRC OK
I (35224) j1850: 28 1B 10 02 16 C8 09 | CRC OK
I (35289) j1850: 28 1B 10 02 16 D8 C4 | CRC OK
I (35355) j1850: 28 1B 10 02 16 E4 12 | CRC OK
I (35420) j1850: 28 1B 10 02 16 F4 DF | CRC OK
I (35467) j1850: A8 3B 10 03 00 00 | CRC OK
I (35467) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (35473) j1850: 68 FF 40 03 D8 | CRC OK
I (35486) j1850: 28 1B 10 02 16 7C 11 | CRC OK
I (35551) j1850: 28 1B 10 02 16 C4 95 | CRC OK
I (35582) j1850: 68 FF 60 03 AD | CRC OK
I (35617) j1850: 28 1B 10 02 16 38 76 | CRC OK
I (35683) j1850: 28 1B 10 02 16 80 F2 | CRC OK
I (35748) j1850: 28 1B 10 02 16 D4 58 | CRC OK
I (35773) j1850: A8 83 10 0A 00 50 1D | CRC OK
I (35814) j1850: 28 1B 10 02 16 1C 85 | CRC OK
I (35879) j1850: 28 1B 10 02 15 D0 F8 | CRC OK
I (35945) j1850: 28 1B 10 02 16 3C 02 | CRC OK
I (35960) j1850: A8 3B 10 03 00 00 | CRC OK
I (35960) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (36010) j1850: 28 1B 10 02 16 78 65 | CRC OK
I (36076) j1850: 28 1B 10 02 16 64 34 | CRC OK
I (36141) j1850: 28 1B 10 02 17 18 BD | CRC OK
I (36156) j1850: 68 FF 10 03 86 | CRC OK
I (36164) j1850: 68 88 10 03 44 | CRC OK
I (36173) j1850: C8 88 10 0E BA | CRC OK
I (36189) j1850: C8 89 60 03 9F | CRC OK
I (36195) j1850: E8 89 60 0E 54 | CRC OK
I (36207) j1850: 28 1B 10 02 16 FC 37 | CRC OK
I (36272) j1850: 28 1B 10 02 16 90 3F | CRC OK
I (36338) j1850: 28 1B 10 02 16 88 1A | CRC OK
I (36403) j1850: 28 1B 10 02 16 00 D4 | CRC OK
I (36452) j1850: A8 3B 10 03 00 00 | CRC OK
I (36452) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (36469) j1850: 28 1B 10 02 16 40 C7 | CRC OK
I (36535) j1850: 28 1B 10 02 16 44 B3 | CRC OK
I (36600) j1850: 28 1B 10 02 15 E8 5A | CRC OK
I (36666) j1850: 28 1B 10 02 15 D0 F8 | CRC OK
I (36731) j1850: 28 1B 10 02 16 24 27 | CRC OK
I (36797) j1850: 28 1B 10 02 16 74 F9 | CRC OK
I (36862) j1850: 28 1B 10 02 16 7C 11 | CRC OK
I (36928) j1850: 28 1B 10 02 15 EC 2E | CRC OK
I (36944) j1850: A8 3B 10 03 00 00 | CRC OK
I (36944) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (36993) j1850: 28 1B 10 02 15 FC E3 | CRC OK
I (37059) j1850: 28 1B 10 02 16 08 3C | CRC OK
I (37125) j1850: 28 1B 10 02 16 30 9E | CRC OK
I (37156) j1850: 68 88 10 03 44 | CRC OK
I (37164) j1850: C8 88 10 0E BA | CRC OK
I (37177) j1850: C8 89 60 03 9F | CRC OK
